50 3
13 49 801
1320 77 467
580 5 802
1255 71 90
1116 36 1785
145 27 1442
1214 69 1050
1875 13 1755
1776 64 1416
267 25 1226
497 21 824
1280 28 360
868 13 248
1458 90 1291
942 45 63
1555 57 1469
835 17 1867
852 76 699
826 20 308
270 29 333
542 97 578
210 27 1352
1282 66 260
1428 62 526
528 33 224
1489 18 1851
1158 24 1565
134 93 881
610 74 770
1733 52 316
1416 95 363
1243 99 1467
1533 84 875
1362 75 1580
327 57 1836
1735 51 40
469 66 1533
1 92 128
1174 31 524
1512 52 979
1690 9 1204
1424 60 421
900 64 1571
1520 78 964
1889 22 1416
803 77 1015
1045 42 219
1613 30 146
649 89 984
1864 37 1740
