50 3
12 55 76
963 54 678
201 88 437
192 64 1382
155 1 577
108 63 447
1077 15 311
543 8 1242
751 81 934
1281 95 1833
684 38 1115
848 23 1653
831 69 1407
1757 11 1645
674 22 1387
1664 62 1164
1701 49 1636
1830 60 1282
8 87 150
193 46 108
1461 66 373
792 18 230
1096 49 1309
1400 57 294
829 20 181
382 20 1079
1571 86 1011
1037 85 1233
532 93 649
1109 56 1413
1687 12 612
1428 80 465
1493 62 279
892 22 24
1220 45 975
76 94 1470
1719 77 1601
222 22 945
243 6 782
624 91 1228
1334 42 816
1097 77 1813
1324 33 999
393 46 318
1466 89 969
109 79 953
1180 91 1878
1675 48 5
907 11 1661
1079 23 1324
