   200     3
  1307    12   171
   700    24   972
   127    43   305
   896     2   847
  2337    37    27
  3231    15   712
  2530    33  1292
  1876    24   308
  1516    30  2876
  3164    45   299
   675    22  1177
    30    45  1855
   296    24  2490
   821    25  3157
   893    36    19
  1384    45  1641
   897    11  1368
  1899    21  3156
   405    37  1830
   836    23   229
   428    40  2451
  2975    49  3264
  1312    22  3145
  3022    35  3284
  1164    39   477
  2084    45  1192
  1509    31   188
  2300    37   657
  2727    15   743
   359    49  2033
  2396     8   926
  1608    18  2412
  2472    21  3002
   225    25  2292
   657    28  1967
  1099    48  1676
  3347    11  3040
   480    10  2395
  1865    46  1245
  2387    21  3219
  1188    23  3260
  2413    45   861
  3224     9  1465
  1206    12  1377
  1571    29  2452
  1107     3  1300
  1797    13   179
  1223    33  1515
   174    21  2664
   110    34   317
  2336    10   761
   497    28  2767
   620    20  1836
   173    26  1270
  2017    50  1879
   197     6   490
  1020    32  2077
  2624    48  1230
  1283    33  3031
  1829    26  1286
  1255    11  2017
  3027     4  2827
   420    18   604
  1532     4   787
  3267     8   336
  3036    31   994
  1406     9  2707
  1607    22  1711
  2978     8  3217
   531    30  2778
   118    45  3126
  2715    19   803
   890    25  1834
  1654     2  2899
  1479    25  1900
  3125    34  2610
   864     2  2509
  2253    11  2755
  2180    38  2447
  3202     8  2510
  2799    44  3151
  1409    40  1350
  2318    39   646
  1583    18  3099
  2386    49  1060
  2548     1   620
  2249    42   251
  3085    45  3026
  1172    35  1401
  2685    13   485
  1859    19   887
  2122    45  1844
   266     4  3210
   955    44  2918
   592    41  2399
   196     4  3088
  3018     5  1410
   305     9  2046
  1384    31   609
  1311     3   516
  1880    43  2194
  1948    25  2218
   239     5  2420
    51    38  3334
   697    47  2600
  1395    14    24
   978    44  2892
  1154    45   107
  2648    40  2901
   193    20   750
   995    23  1266
   323    18   386
   295     8  3314
  3384    46  2459
   539     8  2772
  1689     7    54
   405    47  2338
  2811    10   148
   567     7   438
   714     4  3259
  3362    28  2616
  2622    29  2926
   970    34  1011
  2730    25  1958
  1870    49   497
  2661     8   294
  2532    17   147
  1913    17   691
  2256    13  2179
  3325    33  1333
    55    44   441
  2811    27  1081
   816    47  3070
  1478     6  1861
  1074    40   105
   890    42   801
  3206    32   136
  1682    16  3160
  1161     9  1759
   305    45  2922
   722    43   613
   625    31  1465
  2007    17  1742
  3097    24  1813
   420    18  2569
  1452    39  1609
  1766    50  3275
  2671     6   255
  3310    29  1797
  2846     7   324
    92    26  1983
  1633    48  2369
   106    30   913
  2552    33   615
  2251    20  1339
  2228    16  2610
  1091    14  2805
  1913    36  1236
   399     8  2274
  2970    26  2839
   287    18  1590
  2125    24  2141
  1889    10  1540
  1928    20  1007
  1143    39  3082
   353    37  3014
  3299     1  2597
  1056    43  1311
  1911    12   407
  2280    39   579
   916    29  1545
   243    28  2397
  2959     2  1867
  1592    37  2085
  2046    37  1149
  2169    16    58
  1151    16  2395
  3044    41  2329
  2432    28  3271
   529    41   250
   489    29  3079
  1836    19  3207
   927    12  1040
  1365    24  3275
   238    20  1706
  2456    49  3167
  2450    46  2601
  1317     1  2698
  2240     4  3084
  2678    50   957
   889    30  1609
  3167    13  1472
   803    47   468
   211    21    90
   703    41   520
  2770     6   291
  3296    37  2121
   753    37  2560
  2394    42   401
  1347    49  1687
