50 3
31 44 451
785 61 951
972 54 849
469 6 1250
78 40 1803
365 39 228
1658 96 409
194 32 634
1660 39 1092
582 11 557
402 5 1096
742 36 613
1416 92 441
36 30 875
476 53 532
388 64 1096
103 84 76
703 90 1245
571 66 1458
1315 88 1562
653 47 219
104 3 736
582 99 1175
818 48 748
397 53 553
1044 41 1665
1161 81 854
979 23 1188
208 27 1243
24 86 1274
589 44 49
1511 79 922
1705 13 1806
1589 12 1556
803 42 1691
85 24 407
262 81 998
1758 30 388
825 23 1051
953 60 218
1014 98 534
1007 28 688
1819 37 1513
1763 36 781
1523 74 1703
1704 46 1775
1081 63 1306
1190 57 436
77 95 1845
1706 95 1804
