50 3
8 37 1828
1533 28 881
1818 98 450
1100 74 1189
272 81 1204
985 57 781
1325 30 417
989 48 266
1622 93 1322
1322 37 1486
1166 74 732
374 77 148
954 42 1643
644 55 2
160 67 608
1233 92 1781
499 7 383
1407 25 991
1632 41 1472
678 97 1337
696 10 1587
1531 35 92
952 99 131
490 90 215
1459 62 1036
242 18 1327
660 33 645
1586 10 921
961 73 1628
1256 69 288
1179 52 250
201 71 1420
232 19 606
40 87 221
1088 18 155
1061 78 1786
455 63 801
1466 77 746
73 49 1039
1723 53 1396
261 34 1366
741 40 1381
789 47 1242
1806 25 1196
269 41 136
316 35 1019
870 51 251
854 67 1693
824 23 499
1305 47 1746
