50 3
8 68 984
747 60 1241
811 78 56
1760 58 1558
860 16 319
1549 28 927
1010 96 749
738 37 844
599 20 1170
446 53 1509
1363 36 19
1277 14 685
1574 98 1472
1886 3 1571
591 21 1587
714 25 1490
1881 43 1647
983 62 514
858 8 1215
634 7 587
784 14 1897
1893 22 1878
308 89 1039
1892 91 1815
1024 75 1602
1467 59 378
1830 3 1173
167 25 702
357 3 416
1739 68 71
1810 58 1220
453 62 393
462 60 22
332 25 1512
845 96 1176
522 80 513
1110 61 1854
484 32 570
545 91 274
64 67 74
90 9 1423
1013 67 1567
1509 86 878
238 12 285
1226 23 1767
83 35 22
626 97 63
6 24 707
507 31 1294
638 98 1528
